Iteration	Trial	Iterations	Success
10	0	10	False
15	1	5	True
18	2	3	True
20	3	2	True
22	4	2	True
25	5	3	True
28	6	3	True
30	7	2	True
32	8	2	True
35	9	3	True
40	10	5	True
42	11	2	True
47	12	5	True
49	13	2	True
52	14	3	True
54	15	2	True
56	16	2	True
58	17	2	True
61	18	3	True
64	19	3	True
67	20	3	True
70	21	3	True
77	22	7	True
79	23	2	True
83	24	4	True
86	25	3	True
93	26	7	True
96	27	3	True
99	28	3	True
102	29	3	True
105	30	3	True
109	31	4	True
112	32	3	True
114	33	2	True
116	34	2	True
118	35	2	True
121	36	3	True
123	37	2	True
126	38	3	True
129	39	3	True
131	40	2	True
133	41	2	True
138	42	5	True
141	43	3	True
144	44	3	True
147	45	3	True
149	46	2	True
152	47	3	True
155	48	3	True
158	49	3	True
161	50	3	True
164	51	3	True
166	52	2	True
169	53	3	True
172	54	3	True
174	55	2	True
180	56	6	True
183	57	3	True
186	58	3	True
189	59	3	True
192	60	3	True
195	61	3	True
197	62	2	True
200	63	3	True
203	64	3	True
210	65	7	True
212	66	2	True
215	67	3	True
218	68	3	True
221	69	3	True
223	70	2	True
225	71	2	True
229	72	4	True
231	73	2	True
233	74	2	True
236	75	3	True
238	76	2	True
240	77	2	True
243	78	3	True
245	79	2	True
248	80	3	True
250	81	2	True
253	82	3	True
257	83	4	True
260	84	3	True
262	85	2	True
266	86	4	True
269	87	3	True
275	88	6	True
278	89	3	True
281	90	3	True
283	91	2	True
288	92	5	True
291	93	3	True
294	94	3	True
297	95	3	True
301	96	4	True
303	97	2	True
305	98	2	True
307	99	2	True
309	100	2	True
312	101	3	True
317	102	5	True
320	103	3	True
323	104	3	True
327	105	4	True
330	106	3	True
336	107	6	True
338	108	2	True
341	109	3	True
344	110	3	True
347	111	3	True
350	112	3	True
352	113	2	True
355	114	3	True
358	115	3	True
361	116	3	True
364	117	3	True
367	118	3	True
370	119	3	True
372	120	2	True
375	121	3	True
377	122	2	True
380	123	3	True
383	124	3	True
386	125	3	True
389	126	3	True
392	127	3	True
396	128	4	True
399	129	3	True
406	130	7	True
409	131	3	True
412	132	3	True
414	133	2	True
417	134	3	True
420	135	3	True
423	136	3	True
426	137	3	True
429	138	3	True
432	139	3	True
434	140	2	True
438	141	4	True
441	142	3	True
444	143	3	True
447	144	3	True
449	145	2	True
452	146	3	True
454	147	2	True
457	148	3	True
459	149	2	True
462	150	3	True
465	151	3	True
468	152	3	True
471	153	3	True
474	154	3	True
477	155	3	True
479	156	2	True
482	157	3	True
484	158	2	True
486	159	2	True
489	160	3	True
492	161	3	True
495	162	3	True
498	163	3	True
501	164	3	True
504	165	3	True
506	166	2	True
509	167	3	True
515	168	6	True
519	169	4	True
522	170	3	True
524	171	2	True
527	172	3	True
529	173	2	True
534	174	5	True
536	175	2	True
539	176	3	True
542	177	3	True
546	178	4	True
549	179	3	True
559	180	10	False
562	181	3	True
565	182	3	True
568	183	3	True
570	184	2	True
573	185	3	True
576	186	3	True
579	187	3	True
582	188	3	True
585	189	3	True
589	190	4	True
592	191	3	True
595	192	3	True
598	193	3	True
601	194	3	True
603	195	2	True
606	196	3	True
609	197	3	True
611	198	2	True
614	199	3	True
617	200	3	True
620	201	3	True
623	202	3	True
626	203	3	True
628	204	2	True
631	205	3	True
634	206	3	True
637	207	3	True
640	208	3	True
643	209	3	True
646	210	3	True
649	211	3	True
652	212	3	True
654	213	2	True
657	214	3	True
660	215	3	True
663	216	3	True
666	217	3	True
669	218	3	True
672	219	3	True
676	220	4	True
680	221	4	True
683	222	3	True
687	223	4	True
690	224	3	True
693	225	3	True
696	226	3	True
698	227	2	True
701	228	3	True
704	229	3	True
706	230	2	True
709	231	3	True
712	232	3	True
715	233	3	True
718	234	3	True
722	235	4	True
726	236	4	True
729	237	3	True
732	238	3	True
735	239	3	True
737	240	2	True
739	241	2	True
742	242	3	True
745	243	3	True
748	244	3	True
751	245	3	True
754	246	3	True
757	247	3	True
760	248	3	True
763	249	3	True
766	250	3	True
768	251	2	True
771	252	3	True
773	253	2	True
776	254	3	True
779	255	3	True
782	256	3	True
785	257	3	True
788	258	3	True
790	259	2	True
793	260	3	True
796	261	3	True
801	262	5	True
804	263	3	True
808	264	4	True
811	265	3	True
813	266	2	True
816	267	3	True
819	268	3	True
822	269	3	True
825	270	3	True
827	271	2	True
830	272	3	True
832	273	2	True
835	274	3	True
838	275	3	True
841	276	3	True
844	277	3	True
847	278	3	True
849	279	2	True
852	280	3	True
855	281	3	True
858	282	3	True
860	283	2	True
862	284	2	True
865	285	3	True
868	286	3	True
871	287	3	True
875	288	4	True
879	289	4	True
882	290	3	True
884	291	2	True
887	292	3	True
889	293	2	True
891	294	2	True
894	295	3	True
897	296	3	True
900	297	3	True
903	298	3	True
906	299	3	True
909	300	3	True
912	301	3	True
915	302	3	True
917	303	2	True
920	304	3	True
923	305	3	True
926	306	3	True
930	307	4	True
933	308	3	True
936	309	3	True
938	310	2	True
941	311	3	True
944	312	3	True
947	313	3	True
950	314	3	True
953	315	3	True
956	316	3	True
959	317	3	True
962	318	3	True
965	319	3	True
968	320	3	True
971	321	3	True
974	322	3	True
977	323	3	True
980	324	3	True
982	325	2	True
985	326	3	True
988	327	3	True
991	328	3	True
994	329	3	True
996	330	2	True
999	331	3	True
1002	332	3	True
1005	333	3	True
1008	334	3	True
1011	335	3	True
1013	336	2	True
1018	337	5	True
1021	338	3	True
1024	339	3	True
1027	340	3	True
1030	341	3	True
1033	342	3	True
1036	343	3	True
1039	344	3	True
1042	345	3	True
