Iteration	Trial	Iterations	Success
8	0	8	True
12	1	4	True
14	2	2	True
18	3	4	True
20	4	2	True
23	5	3	True
26	6	3	True
29	7	3	True
31	8	2	True
34	9	3	True
37	10	3	True
39	11	2	True
42	12	3	True
44	13	2	True
48	14	4	True
53	15	5	True
57	16	4	True
60	17	3	True
67	18	7	True
69	19	2	True
72	20	3	True
75	21	3	True
79	22	4	True
82	23	3	True
85	24	3	True
87	25	2	True
89	26	2	True
91	27	2	True
94	28	3	True
97	29	3	True
100	30	3	True
103	31	3	True
106	32	3	True
109	33	3	True
112	34	3	True
115	35	3	True
117	36	2	True
123	37	6	True
127	38	4	True
130	39	3	True
132	40	2	True
135	41	3	True
137	42	2	True
140	43	3	True
143	44	3	True
146	45	3	True
149	46	3	True
152	47	3	True
155	48	3	True
160	49	5	True
163	50	3	True
165	51	2	True
170	52	5	True
173	53	3	True
176	54	3	True
183	55	7	True
185	56	2	True
188	57	3	True
191	58	3	True
193	59	2	True
196	60	3	True
199	61	3	True
202	62	3	True
204	63	2	True
207	64	3	True
210	65	3	True
212	66	2	True
215	67	3	True
218	68	3	True
221	69	3	True
224	70	3	True
227	71	3	True
233	72	6	True
235	73	2	True
238	74	3	True
241	75	3	True
244	76	3	True
248	77	4	True
251	78	3	True
253	79	2	True
256	80	3	True
260	81	4	True
262	82	2	True
265	83	3	True
270	84	5	True
273	85	3	True
276	86	3	True
279	87	3	True
282	88	3	True
284	89	2	True
289	90	5	True
292	91	3	True
300	92	8	True
303	93	3	True
306	94	3	True
309	95	3	True
311	96	2	True
314	97	3	True
320	98	6	True
323	99	3	True
326	100	3	True
329	101	3	True
331	102	2	True
333	103	2	True
336	104	3	True
339	105	3	True
342	106	3	True
346	107	4	True
349	108	3	True
352	109	3	True
355	110	3	True
358	111	3	True
361	112	3	True
363	113	2	True
366	114	3	True
369	115	3	True
372	116	3	True
375	117	3	True
378	118	3	True
381	119	3	True
384	120	3	True
387	121	3	True
390	122	3	True
393	123	3	True
397	124	4	True
400	125	3	True
403	126	3	True
405	127	2	True
408	128	3	True
411	129	3	True
414	130	3	True
416	131	2	True
419	132	3	True
421	133	2	True
424	134	3	True
427	135	3	True
430	136	3	True
433	137	3	True
436	138	3	True
439	139	3	True
442	140	3	True
445	141	3	True
447	142	2	True
450	143	3	True
453	144	3	True
456	145	3	True
458	146	2	True
461	147	3	True
463	148	2	True
465	149	2	True
467	150	2	True
470	151	3	True
473	152	3	True
476	153	3	True
479	154	3	True
483	155	4	True
485	156	2	True
488	157	3	True
490	158	2	True
492	159	2	True
495	160	3	True
498	161	3	True
501	162	3	True
503	163	2	True
506	164	3	True
509	165	3	True
512	166	3	True
515	167	3	True
518	168	3	True
521	169	3	True
524	170	3	True
534	171	10	False
537	172	3	True
540	173	3	True
543	174	3	True
546	175	3	True
548	176	2	True
552	177	4	True
555	178	3	True
557	179	2	True
560	180	3	True
563	181	3	True
566	182	3	True
569	183	3	True
572	184	3	True
574	185	2	True
577	186	3	True
580	187	3	True
582	188	2	True
585	189	3	True
588	190	3	True
591	191	3	True
594	192	3	True
597	193	3	True
600	194	3	True
602	195	2	True
604	196	2	True
607	197	3	True
610	198	3	True
612	199	2	True
615	200	3	True
617	201	2	True
619	202	2	True
621	203	2	True
624	204	3	True
627	205	3	True
630	206	3	True
633	207	3	True
635	208	2	True
639	209	4	True
642	210	3	True
645	211	3	True
648	212	3	True
651	213	3	True
654	214	3	True
657	215	3	True
660	216	3	True
663	217	3	True
666	218	3	True
671	219	5	True
673	220	2	True
676	221	3	True
679	222	3	True
682	223	3	True
684	224	2	True
690	225	6	True
693	226	3	True
695	227	2	True
698	228	3	True
701	229	3	True
703	230	2	True
706	231	3	True
708	232	2	True
711	233	3	True
714	234	3	True
717	235	3	True
720	236	3	True
723	237	3	True
725	238	2	True
728	239	3	True
730	240	2	True
733	241	3	True
736	242	3	True
738	243	2	True
741	244	3	True
744	245	3	True
747	246	3	True
750	247	3	True
752	248	2	True
755	249	3	True
758	250	3	True
761	251	3	True
764	252	3	True
767	253	3	True
770	254	3	True
773	255	3	True
776	256	3	True
779	257	3	True
782	258	3	True
784	259	2	True
787	260	3	True
790	261	3	True
793	262	3	True
796	263	3	True
798	264	2	True
800	265	2	True
803	266	3	True
805	267	2	True
808	268	3	True
811	269	3	True
814	270	3	True
817	271	3	True
819	272	2	True
822	273	3	True
825	274	3	True
827	275	2	True
829	276	2	True
833	277	4	True
836	278	3	True
839	279	3	True
842	280	3	True
845	281	3	True
847	282	2	True
850	283	3	True
853	284	3	True
855	285	2	True
858	286	3	True
861	287	3	True
865	288	4	True
868	289	3	True
871	290	3	True
873	291	2	True
876	292	3	True
879	293	3	True
882	294	3	True
885	295	3	True
888	296	3	True
891	297	3	True
893	298	2	True
895	299	2	True
898	300	3	True
901	301	3	True
904	302	3	True
907	303	3	True
910	304	3	True
913	305	3	True
917	306	4	True
920	307	3	True
923	308	3	True
926	309	3	True
929	310	3	True
932	311	3	True
935	312	3	True
938	313	3	True
941	314	3	True
944	315	3	True
947	316	3	True
949	317	2	True
952	318	3	True
955	319	3	True
958	320	3	True
961	321	3	True
964	322	3	True
967	323	3	True
970	324	3	True
972	325	2	True
975	326	3	True
977	327	2	True
980	328	3	True
984	329	4	True
987	330	3	True
990	331	3	True
992	332	2	True
995	333	3	True
998	334	3	True
1001	335	3	True
1003	336	2	True
1006	337	3	True
1009	338	3	True
1012	339	3	True
1014	340	2	True
1017	341	3	True
1020	342	3	True
1022	343	2	True
1025	344	3	True
1028	345	3	True
1031	346	3	True
1034	347	3	True
1036	348	2	True
1039	349	3	True
1042	350	3	True
