Iteration	Ident	0-object1-label	0-object1-x_position	0-object1-y_position	0-object1-diameter	0-object1-color	0-object1-state	1-object2-label	1-object2-x_position	1-object2-y_position	1-object2-diameter	1-object2-color	1-object2-state	2-robot_hand-x_position	2-robot_hand-y_position	2-robot_hand-state	Confidence
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.5876002233609083	0.9047871250648112	0.16666666915019354	1.0	0.0	0.0	0.4082128892692028	0.6522260288622752	0.6666666766007742	0.0	0.0	0.18847302095413082	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.3736957884950969	0.2595157816479467	0.16666666915019354	1.0	0.0	0.0	0.4082128892692028	0.6522260288622752	0.6666666766007742	0.0	0.0	0.18851538961615535	0.33154228971314503	0.0	-1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.3736957884950969	0.2595157816479467	0.16666666915019354	1.0	0.0	0.0	0.4082128892692028	0.6522260288622752	0.6666666766007742	0.0	0.0	0.18851538961615535	0.33154228971314503	0.0	-1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.1560509457811738	0.49493640244271914	0.16666666915019354	1.0	0.0	0.0	0.3994005632751477	0.34331789257655876	0.6666666766007742	0.0	0.0	0.18851517223962444	0.33154228971314503	0.0	-1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7387816483079181	0.5363908183012659	0.16666666915019354	1.0	0.0	0.0	0.36522027755493464	0.4149645252732413	0.6666666766007742	0.0	0.0	0.18851404583396428	0.33154225019013944	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.2759135012110952	0.7154294804373926	0.16666666915019354	1.0	0.0	0.0	0.43382340168085015	0.21225567340186843	0.6666666766007742	0.0	0.0	0.1885146782020542	0.3315423885206591	0.0	-1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.23217981337995083	0.9680034611397607	0.16666666915019354	1.0	0.0	0.0	0.4553113879453013	0.2588350373991493	0.6666666766007742	0.0	0.0	0.18844905025122233	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7875957220889602	0.16797893947350648	0.16666666915019354	1.0	0.0	0.0	0.3349225342917937	0.3280048819026488	0.6666666766007742	0.0	0.0	0.18847296166962238	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8557623146178037	0.2338741448693737	0.16666666915019354	1.0	0.0	0.0	0.4539874067800398	0.41799068324454114	0.6666666766007742	0.0	0.0	0.18851363084240527	0.3315436334953361	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8994336549075828	0.2622411102619706	0.16666666915019354	1.0	0.0	0.0	0.3916526313454425	0.5858987184459655	0.6666666766007742	0.0	0.0	0.18847349523019827	0.3315435939723305	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.9563595094080669	0.11414705454121454	0.16666666915019354	1.0	0.0	0.0	0.3639971591000152	0.24255991819943384	0.6666666766007742	0.0	0.0	0.18846055144585774	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.9243544118251513	0.7322398794637214	0.16666666915019354	1.0	0.0	0.0	0.42504870158814523	0.3244999422412693	0.6666666766007742	0.0	0.0	0.18850999472588825	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.9603514910677006	0.38808872335967803	0.16666666915019354	1.0	0.0	0.0	0.4009048879150528	0.4182715337224763	0.6666666766007742	0.0	0.0	0.18845640153026763	0.33154347540331364	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7011022328081518	0.33031373684495285	0.16666666915019354	1.0	0.0	0.0	0.41499843601206315	0.2926612365120136	0.6666666766007742	0.0	0.0	0.18851491534008794	0.33154147949152984	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6592353548629556	0.2926241244097365	0.16666666915019354	1.0	0.0	0.0	0.3439365066605216	0.3265272352915371	0.6666666766007742	0.0	0.0	0.188477368484749	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8341194376943283	0.8956060099053166	0.16666666915019354	1.0	0.0	0.0	0.45163361418034587	0.5553416252199467	0.6666666766007742	0.0	0.0	0.18851475724806543	0.3315435544493249	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6615211678929832	0.6509467086933642	0.16666666915019354	1.0	0.0	0.0	0.4233199257993246	0.1250065931803699	0.6666666766007742	0.0	0.0	0.188492446511393	0.33154450300145977	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.47908799337317903	0.7751524570916093	0.16666666915019354	1.0	0.0	0.0	0.33917509112747946	0.5870838948154898	0.6666666766007742	0.0	0.0	0.18846738892582998	0.33154236875915627	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7819939684104275	0.9257690982883106	0.16666666915019354	1.0	0.0	0.0	0.38970632093368984	0.0014926179565178542	0.6666666766007742	0.0	0.0	0.18851331465836033	0.33154225019013944	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.3060078393258132	0.8631050566938937	0.16666666915019354	1.0	0.0	0.0	0.4246265563651189	0.5049499906695859	0.6666666766007742	0.0	0.0	0.18848936371695466	0.33154371254134735	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.48974552993061105	0.8318337432333174	0.16666666915019354	1.0	0.0	0.0	0.40860796123337945	0.050339474063693955	0.6666666766007742	0.0	0.0	0.18844952452728977	0.33154252685117874	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6468689621115353	0.505125393768527	0.16666666915019354	1.0	0.0	0.0	0.4572025637642141	0.10822434441479391	0.6666666766007742	0.0	0.0	0.1884565398607873	0.3315422699516422	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.483687838859247	0.7846627198419064	0.16666666915019354	1.0	0.0	0.0	0.33375688228704564	0.43026779352626593	0.6666666766007742	0.0	0.0	0.18848742708967928	0.33154225019013944	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.15848129444275347	0.9272134270056847	0.16666666915019354	1.0	0.0	0.0	0.3439808909958328	0.5574123540533908	0.6666666766007742	0.0	0.0	0.18851491534008794	0.3315435544493249	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7020246207133093	0.09023027089315434	0.16666666915019354	1.0	0.0	0.0	0.3566224033893732	0.6965701297537163	0.6666666766007742	0.0	0.0	0.18848671567557812	0.33154371254134735	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8618356567993933	0.5549120496718639	0.16666666915019354	1.0	0.0	0.0	0.4308619428697501	0.25995802431933074	0.6666666766007742	0.0	0.0	0.18846248807313312	0.33154371254134735	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6750644767057531	0.18272349075758523	0.16666666915019354	1.0	0.0	0.0	0.43469950814642677	0.027271236995354026	0.6666666766007742	0.0	0.0	0.18847560971099891	0.3315435939723305	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8458142950572605	0.6481221575737316	0.16666666915019354	1.0	0.0	0.0	0.3744864462225232	0.0759734087965468	0.6666666766007742	0.0	0.0	0.18848005604913115	0.33154132139950737	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.5681044732407402	0.9497557684910581	0.16666666915019354	1.0	0.0	0.0	0.3423192647935604	0.06677444405963918	0.6666666766007742	0.0	0.0	0.1884684560469817	0.3315433568342968	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.8434022060242772	0.1779223941269007	0.16666666915019354	1.0	0.0	0.0	0.413212944710178	0.3898066698449588	0.6666666766007742	0.0	0.0	0.18849628024293813	0.33154331731129116	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.3398408166341413	0.6793892420727065	0.16666666915019354	1.0	0.0	0.0	0.3556351582319934	0.4719557508250208	0.6666666766007742	0.0	0.0	0.18844764718452284	0.33154147949152984	0.0	-1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7327317037456557	0.7089177490774671	0.16666666915019354	1.0	0.0	0.0	0.45575040949172724	0.2266886648326454	0.6666666766007742	0.0	0.0	0.18846827819345643	0.3315436334953361	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6981719971714914	0.8070717897523296	0.16666666915019354	1.0	0.0	0.0	0.4057677590035213	0.49898201682097904	0.6666666766007742	0.0	0.0	0.18848321788958075	0.33154225019013944	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.793691908567798	0.49303242116998547	0.16666666915019354	1.0	0.0	0.0	0.4102137414287109	0.37481658188846634	0.6666666766007742	0.0	0.0	0.18847367308372354	0.3315425861356872	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7256717882977818	0.30447523597538706	0.16666666915019354	1.0	0.0	0.0	0.4525529588140707	0.5703493799599513	0.6666666766007742	0.0	0.0	0.18848357359663134	0.3315432777882855	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.890629193991646	0.7670749032950339	0.16666666915019354	1.0	0.0	0.0	0.4136062776621074	0.6037414583790864	0.6666666766007742	0.0	0.0	0.1884704124357599	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7167777682511104	0.7869822459957279	0.16666666915019354	1.0	0.0	0.0	0.3861230071521661	0.001796178106463372	0.6666666766007742	0.0	0.0	0.18849873066928657	0.33154252685117874	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.5628745519990797	0.9669263011445955	0.16666666915019354	1.0	0.0	0.0	0.33640646506079896	0.28152282354520414	0.6666666766007742	0.0	0.0	0.18846738892582998	0.3315435149263193	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.7081992998813083	0.11636957147774192	0.16666666915019354	1.0	0.0	0.0	0.4376087175440973	0.6864179343461405	0.6666666766007742	0.0	0.0	0.18849108296769912	0.331543752064353	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.5972611082856231	0.4601991980503159	0.16666666915019354	1.0	0.0	0.0	0.33215975762994493	0.17390185709570663	0.6666666766007742	0.0	0.0	0.18846835723946767	0.33154225019013944	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.6934801421283403	0.8965364605036206	0.16666666915019354	1.0	0.0	0.0	0.4222036775516014	0.4479642983385932	0.6666666766007742	0.0	0.0	0.18848975894701084	0.3315427639892125	0.0	1.0
2000	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	1.0	0.48835001212517753	0.7690063135336679	0.16666666915019354	1.0	0.0	0.0	0.40385480600851187	0.18228672202247956	0.6666666766007742	0.0	0.0	0.18845659914529575	0.33154248732817315	0.0	1.0
