Iteration	Trial	Iterations	Success
8	0	8	True
13	1	5	True
18	2	5	True
28	3	10	False
31	4	3	True
34	5	3	True
38	6	4	True
42	7	4	True
45	8	3	True
48	9	3	True
51	10	3	True
55	11	4	True
58	12	3	True
61	13	3	True
65	14	4	True
69	15	4	True
72	16	3	True
78	17	6	True
81	18	3	True
85	19	4	True
88	20	3	True
91	21	3	True
96	22	5	True
100	23	4	True
104	24	4	True
109	25	5	True
112	26	3	True
116	27	4	True
119	28	3	True
122	29	3	True
125	30	3	True
130	31	5	True
134	32	4	True
137	33	3	True
142	34	5	True
144	35	2	True
147	36	3	True
149	37	2	True
152	38	3	True
155	39	3	True
159	40	4	True
162	41	3	True
166	42	4	True
169	43	3	True
172	44	3	True
174	45	2	True
177	46	3	True
180	47	3	True
183	48	3	True
186	49	3	True
189	50	3	True
194	51	5	True
197	52	3	True
199	53	2	True
202	54	3	True
207	55	5	True
210	56	3	True
214	57	4	True
217	58	3	True
220	59	3	True
223	60	3	True
226	61	3	True
231	62	5	True
233	63	2	True
235	64	2	True
240	65	5	True
243	66	3	True
245	67	2	True
248	68	3	True
251	69	3	True
254	70	3	True
258	71	4	True
261	72	3	True
264	73	3	True
269	74	5	True
271	75	2	True
273	76	2	True
276	77	3	True
282	78	6	True
285	79	3	True
288	80	3	True
291	81	3	True
294	82	3	True
297	83	3	True
301	84	4	True
306	85	5	True
310	86	4	True
313	87	3	True
316	88	3	True
320	89	4	True
323	90	3	True
327	91	4	True
331	92	4	True
334	93	3	True
337	94	3	True
341	95	4	True
344	96	3	True
347	97	3	True
351	98	4	True
353	99	2	True
357	100	4	True
360	101	3	True
363	102	3	True
368	103	5	True
371	104	3	True
374	105	3	True
377	106	3	True
380	107	3	True
383	108	3	True
385	109	2	True
390	110	5	True
392	111	2	True
395	112	3	True
397	113	2	True
400	114	3	True
404	115	4	True
407	116	3	True
409	117	2	True
413	118	4	True
416	119	3	True
419	120	3	True
422	121	3	True
425	122	3	True
428	123	3	True
431	124	3	True
436	125	5	True
439	126	3	True
442	127	3	True
446	128	4	True
452	129	6	True
455	130	3	True
461	131	6	True
464	132	3	True
467	133	3	True
470	134	3	True
473	135	3	True
477	136	4	True
483	137	6	True
486	138	3	True
490	139	4	True
494	140	4	True
497	141	3	True
499	142	2	True
502	143	3	True
504	144	2	True
507	145	3	True
509	146	2	True
511	147	2	True
514	148	3	True
517	149	3	True
520	150	3	True
523	151	3	True
527	152	4	True
530	153	3	True
535	154	5	True
541	155	6	True
544	156	3	True
547	157	3	True
549	158	2	True
551	159	2	True
554	160	3	True
560	161	6	True
563	162	3	True
566	163	3	True
568	164	2	True
570	165	2	True
573	166	3	True
576	167	3	True
579	168	3	True
581	169	2	True
586	170	5	True
590	171	4	True
593	172	3	True
596	173	3	True
606	174	10	False
616	175	10	False
621	176	5	True
623	177	2	True
626	178	3	True
629	179	3	True
633	180	4	True
637	181	4	True
640	182	3	True
642	183	2	True
645	184	3	True
648	185	3	True
652	186	4	True
657	187	5	True
660	188	3	True
664	189	4	True
666	190	2	True
669	191	3	True
672	192	3	True
676	193	4	True
679	194	3	True
683	195	4	True
686	196	3	True
690	197	4	True
693	198	3	True
698	199	5	True
705	200	7	True
708	201	3	True
711	202	3	True
716	203	5	True
718	204	2	True
721	205	3	True
724	206	3	True
727	207	3	True
730	208	3	True
733	209	3	True
736	210	3	True
741	211	5	True
