Iteration	Trial	Iterations	Success
1351	385	4	True
1356	386	5	True
1359	387	3	True
1363	388	4	True
1369	389	6	True
1373	390	4	True
1376	391	3	True
1378	392	2	True
1380	393	2	True
1383	394	3	True
1387	395	4	True
1389	396	2	True
1393	397	4	True
1396	398	3	True
1401	399	5	True
1403	400	2	True
1407	401	4	True
1410	402	3	True
1416	403	6	True
1419	404	3	True
1421	405	2	True
1423	406	2	True
1427	407	4	True
1433	408	6	True
1436	409	3	True
1439	410	3	True
1442	411	3	True
1445	412	3	True
1448	413	3	True
1451	414	3	True
1454	415	3	True
1457	416	3	True
1463	417	6	True
1466	418	3	True
1469	419	3	True
1471	420	2	True
1477	421	6	True
1479	422	2	True
1482	423	3	True
1485	424	3	True
1487	425	2	True
1491	426	4	True
1497	427	6	True
1499	428	2	True
1502	429	3	True
1505	430	3	True
1510	431	5	True
1513	432	3	True
1516	433	3	True
1520	434	4	True
1523	435	3	True
1525	436	2	True
1535	437	10	False
1538	438	3	True
1541	439	3	True
1544	440	3	True
1550	441	6	True
1553	442	3	True
1556	443	3	True
1561	444	5	True
1567	445	6	True
1569	446	2	True
1573	447	4	True
1577	448	4	True
1580	449	3	True
1584	450	4	True
1587	451	3	True
1589	452	2	True
1595	453	6	True
1599	454	4	True
1602	455	3	True
1604	456	2	True
1607	457	3	True
1610	458	3	True
1613	459	3	True
1615	460	2	True
1618	461	3	True
1621	462	3	True
1624	463	3	True
1626	464	2	True
1629	465	3	True
1632	466	3	True
1634	467	2	True
1637	468	3	True
1641	469	4	True
1644	470	3	True
1647	471	3	True
1650	472	3	True
1656	473	6	True
1659	474	3	True
1665	475	6	True
1668	476	3	True
1671	477	3	True
1674	478	3	True
1677	479	3	True
1680	480	3	True
1684	481	4	True
1687	482	3	True
1689	483	2	True
1695	484	6	True
1698	485	3	True
1701	486	3	True
1704	487	3	True
1707	488	3	True
1710	489	3	True
1713	490	3	True
1716	491	3	True
1719	492	3	True
1721	493	2	True
1723	494	2	True
1730	495	7	True
1733	496	3	True
1737	497	4	True
1740	498	3	True
1743	499	3	True
1746	500	3	True
1749	501	3	True
1752	502	3	True
1755	503	3	True
1759	504	4	True
1762	505	3	True
1767	506	5	True
1769	507	2	True
1772	508	3	True
1774	509	2	True
1780	510	6	True
1783	511	3	True
1786	512	3	True
1789	513	3	True
1792	514	3	True
1794	515	2	True
1799	516	5	True
1802	517	3	True
1805	518	3	True
1808	519	3	True
1811	520	3	True
1814	521	3	True
1819	522	5	True
1822	523	3	True
1824	524	2	True
1827	525	3	True
1837	526	10	True
1839	527	2	True
1844	528	5	True
1847	529	3	True
1850	530	3	True
1853	531	3	True
1857	532	4	True
1859	533	2	True
1866	534	7	True
1871	535	5	True
1876	536	5	True
1879	537	3	True
1882	538	3	True
1887	539	5	True
1890	540	3	True
1894	541	4	True
1897	542	3	True
1903	543	6	True
1905	544	2	True
1907	545	2	True
1912	546	5	True
1915	547	3	True
1919	548	4	True
1925	549	6	True
1927	550	2	True
