Iteration	Trial	Iterations	Success
7	0	7	True
9	1	2	True
13	2	4	True
17	3	4	True
19	4	2	True
25	5	6	True
28	6	3	True
33	7	5	True
36	8	3	True
38	9	2	True
41	10	3	True
47	11	6	True
50	12	3	True
53	13	3	True
57	14	4	True
60	15	3	True
64	16	4	True
67	17	3	True
71	18	4	True
76	19	5	True
79	20	3	True
82	21	3	True
86	22	4	True
89	23	3	True
92	24	3	True
94	25	2	True
101	26	7	True
103	27	2	True
106	28	3	True
109	29	3	True
111	30	2	True
114	31	3	True
117	32	3	True
120	33	3	True
122	34	2	True
127	35	5	True
130	36	3	True
133	37	3	True
135	38	2	True
137	39	2	True
139	40	2	True
141	41	2	True
144	42	3	True
147	43	3	True
150	44	3	True
153	45	3	True
155	46	2	True
158	47	3	True
160	48	2	True
163	49	3	True
166	50	3	True
169	51	3	True
171	52	2	True
174	53	3	True
180	54	6	True
182	55	2	True
185	56	3	True
188	57	3	True
190	58	2	True
192	59	2	True
196	60	4	True
199	61	3	True
202	62	3	True
205	63	3	True
207	64	2	True
210	65	3	True
212	66	2	True
215	67	3	True
218	68	3	True
221	69	3	True
224	70	3	True
227	71	3	True
230	72	3	True
232	73	2	True
235	74	3	True
238	75	3	True
241	76	3	True
243	77	2	True
246	78	3	True
248	79	2	True
255	80	7	True
257	81	2	True
262	82	5	True
265	83	3	True
267	84	2	True
270	85	3	True
272	86	2	True
275	87	3	True
278	88	3	True
281	89	3	True
283	90	2	True
285	91	2	True
288	92	3	True
291	93	3	True
293	94	2	True
295	95	2	True
298	96	3	True
301	97	3	True
305	98	4	True
315	99	10	False
318	100	3	True
321	101	3	True
323	102	2	True
326	103	3	True
328	104	2	True
331	105	3	True
334	106	3	True
337	107	3	True
340	108	3	True
342	109	2	True
344	110	2	True
347	111	3	True
350	112	3	True
353	113	3	True
356	114	3	True
358	115	2	True
361	116	3	True
363	117	2	True
366	118	3	True
368	119	2	True
371	120	3	True
373	121	2	True
376	122	3	True
379	123	3	True
381	124	2	True
384	125	3	True
387	126	3	True
389	127	2	True
391	128	2	True
394	129	3	True
397	130	3	True
399	131	2	True
402	132	3	True
405	133	3	True
407	134	2	True
410	135	3	True
413	136	3	True
415	137	2	True
418	138	3	True
421	139	3	True
424	140	3	True
427	141	3	True
429	142	2	True
432	143	3	True
435	144	3	True
437	145	2	True
440	146	3	True
443	147	3	True
446	148	3	True
449	149	3	True
454	150	5	True
457	151	3	True
460	152	3	True
464	153	4	True
468	154	4	True
470	155	2	True
472	156	2	True
475	157	3	True
477	158	2	True
481	159	4	True
484	160	3	True
486	161	2	True
489	162	3	True
492	163	3	True
495	164	3	True
498	165	3	True
501	166	3	True
504	167	3	True
507	168	3	True
511	169	4	True
513	170	2	True
515	171	2	True
518	172	3	True
520	173	2	True
522	174	2	True
525	175	3	True
528	176	3	True
531	177	3	True
534	178	3	True
537	179	3	True
540	180	3	True
543	181	3	True
546	182	3	True
548	183	2	True
551	184	3	True
554	185	3	True
557	186	3	True
560	187	3	True
564	188	4	True
567	189	3	True
570	190	3	True
573	191	3	True
576	192	3	True
579	193	3	True
582	194	3	True
585	195	3	True
588	196	3	True
591	197	3	True
594	198	3	True
597	199	3	True
599	200	2	True
603	201	4	True
606	202	3	True
609	203	3	True
612	204	3	True
615	205	3	True
618	206	3	True
621	207	3	True
624	208	3	True
627	209	3	True
630	210	3	True
634	211	4	True
636	212	2	True
639	213	3	True
642	214	3	True
645	215	3	True
648	216	3	True
651	217	3	True
653	218	2	True
655	219	2	True
658	220	3	True
661	221	3	True
663	222	2	True
666	223	3	True
668	224	2	True
671	225	3	True
674	226	3	True
677	227	3	True
680	228	3	True
683	229	3	True
686	230	3	True
689	231	3	True
692	232	3	True
694	233	2	True
696	234	2	True
700	235	4	True
703	236	3	True
705	237	2	True
708	238	3	True
710	239	2	True
713	240	3	True
715	241	2	True
718	242	3	True
722	243	4	True
725	244	3	True
727	245	2	True
730	246	3	True
733	247	3	True
736	248	3	True
738	249	2	True
742	250	4	True
744	251	2	True
746	252	2	True
749	253	3	True
752	254	3	True
754	255	2	True
759	256	5	True
762	257	3	True
764	258	2	True
767	259	3	True
771	260	4	True
774	261	3	True
777	262	3	True
780	263	3	True
783	264	3	True
786	265	3	True
788	266	2	True
791	267	3	True
793	268	2	True
795	269	2	True
798	270	3	True
