Iteration	Trial	Iterations	Success
7	0	7	True
11	1	4	True
17	2	6	True
22	3	5	True
25	4	3	True
28	5	3	True
33	6	5	True
40	7	7	True
43	8	3	True
47	9	4	True
51	10	4	True
54	11	3	True
57	12	3	True
60	13	3	True
63	14	3	True
68	15	5	True
71	16	3	True
74	17	3	True
77	18	3	True
80	19	3	True
83	20	3	True
86	21	3	True
91	22	5	True
94	23	3	True
101	24	7	True
104	25	3	True
107	26	3	True
110	27	3	True
113	28	3	True
115	29	2	True
117	30	2	True
122	31	5	True
125	32	3	True
128	33	3	True
132	34	4	True
135	35	3	True
138	36	3	True
141	37	3	True
144	38	3	True
146	39	2	True
149	40	3	True
152	41	3	True
155	42	3	True
158	43	3	True
161	44	3	True
164	45	3	True
167	46	3	True
169	47	2	True
172	48	3	True
175	49	3	True
178	50	3	True
181	51	3	True
184	52	3	True
187	53	3	True
195	54	8	True
198	55	3	True
202	56	4	True
205	57	3	True
207	58	2	True
209	59	2	True
212	60	3	True
215	61	3	True
218	62	3	True
220	63	2	True
222	64	2	True
224	65	2	True
227	66	3	True
229	67	2	True
236	68	7	True
239	69	3	True
241	70	2	True
243	71	2	True
245	72	2	True
248	73	3	True
251	74	3	True
253	75	2	True
256	76	3	True
261	77	5	True
264	78	3	True
267	79	3	True
269	80	2	True
271	81	2	True
274	82	3	True
277	83	3	True
280	84	3	True
283	85	3	True
286	86	3	True
289	87	3	True
292	88	3	True
296	89	4	True
299	90	3	True
302	91	3	True
305	92	3	True
308	93	3	True
311	94	3	True
314	95	3	True
319	96	5	True
322	97	3	True
325	98	3	True
328	99	3	True
331	100	3	True
333	101	2	True
336	102	3	True
339	103	3	True
342	104	3	True
345	105	3	True
347	106	2	True
350	107	3	True
353	108	3	True
356	109	3	True
361	110	5	True
364	111	3	True
367	112	3	True
370	113	3	True
373	114	3	True
376	115	3	True
379	116	3	True
382	117	3	True
385	118	3	True
388	119	3	True
391	120	3	True
394	121	3	True
397	122	3	True
400	123	3	True
403	124	3	True
405	125	2	True
408	126	3	True
410	127	2	True
413	128	3	True
416	129	3	True
419	130	3	True
422	131	3	True
426	132	4	True
429	133	3	True
432	134	3	True
435	135	3	True
438	136	3	True
441	137	3	True
444	138	3	True
447	139	3	True
450	140	3	True
453	141	3	True
456	142	3	True
460	143	4	True
463	144	3	True
466	145	3	True
469	146	3	True
472	147	3	True
476	148	4	True
479	149	3	True
482	150	3	True
486	151	4	True
489	152	3	True
492	153	3	True
495	154	3	True
498	155	3	True
501	156	3	True
503	157	2	True
506	158	3	True
509	159	3	True
512	160	3	True
514	161	2	True
517	162	3	True
520	163	3	True
524	164	4	True
527	165	3	True
530	166	3	True
533	167	3	True
536	168	3	True
539	169	3	True
542	170	3	True
545	171	3	True
548	172	3	True
551	173	3	True
554	174	3	True
557	175	3	True
560	176	3	True
563	177	3	True
566	178	3	True
569	179	3	True
572	180	3	True
575	181	3	True
577	182	2	True
579	183	2	True
581	184	2	True
584	185	3	True
587	186	3	True
590	187	3	True
592	188	2	True
